ID	skos:exactMatch	score
ID	A skos:exactMatch	>AT  n2o:Confidence^^xsd:float
WHB:CS202210140_3	WMB:CS20230722_SUBC_338	1.0
WHB:CS202210140_1	WMB:CS20230722_SUBC_338	0.99
WHB:CS202210140_2	WMB:CS20230722_SUBC_338	0.99
WHB:CS202210140_315	WMB:CS20230722_SUBC_313	0.97
WHB:CS202210140_309	WMB:CS20230722_SUBC_315	0.96
WHB:CS202210140_4	WMB:CS20230722_SUBC_337	0.95
WHB:CS202210140_236	WMB:CS20230722_SUBC_056	0.93
WHB:CS202210140_4	WMB:CS20230722_SUBC_335	0.93
WHB:CS202210140_208	WMB:CS20230722_SUBC_062	0.93
WHB:CS202210140_4	WMB:CS20230722_SUBC_334	0.93
WHB:CS202210140_212	WMB:CS20230722_SUBC_061	0.92
WHB:CS202210140_222	WMB:CS20230722_SUBC_062	0.92
WHB:CS202210140_108	WMB:CS20230722_SUBC_030	0.92
WHB:CS202210140_213	WMB:CS20230722_SUBC_062	0.91
WHB:CS202210140_217	WMB:CS20230722_SUBC_062	0.91
WHB:CS202210140_253	WMB:CS20230722_SUBC_053	0.91
WHB:CS202210140_287	WMB:CS20230722_SUBC_049	0.91
WHB:CS202210140_312	WMB:CS20230722_SUBC_314	0.9
WHB:CS202210140_110	WMB:CS20230722_SUBC_030	0.9
WHB:CS202210140_210	WMB:CS20230722_SUBC_061	0.88
WHB:CS202210140_255	WMB:CS20230722_SUBC_053	0.87
WHB:CS202210140_288	WMB:CS20230722_SUBC_049	0.87
WHB:CS202210140_311	WMB:CS20230722_SUBC_314	0.87
WHB:CS202210140_289	WMB:CS20230722_SUBC_049	0.86
WHB:CS202210140_139	WMB:CS20230722_SUBC_006	0.85
WHB:CS202210140_295	WMB:CS20230722_SUBC_046	0.83
WHB:CS202210140_134	WMB:CS20230722_SUBC_006	0.83
WHB:CS202210140_136	WMB:CS20230722_SUBC_006	0.82
WHB:CS202210140_118	WMB:CS20230722_SUBC_022	0.82
WHB:CS202210140_294	WMB:CS20230722_SUBC_046	0.81
